Timestamp,Score,Gender,Age,Educational Qualification,Monthly income,Which UPI app do you use the most?,I use UPI for most of my daily transactions,Using UPI makes me spend more than I planned,I make more impulse/unplanned purchases because UPI is so convenient, I find it harder to track my spending when I use UPI,UPI cashbacks and offers encourage me to spend more,I spend on small things now that I would have skipped with cash,The ease of UPI has increased my overall monthly expenses,I often pay digitally without thinking about the amount,I shop online more because UPI payment is quick and easy,"I lose the ""feel"" of money when I pay through UPI compared to cash",I am able to save a fixed amount every month,Using UPI helps me keep digital records that improve my budgeting,I review my UPI transaction history to control my expenses,UPI has made me more disciplined about my finances,I set a monthly spending limit for myself,I transfer money to savings before spending on wants,Digital payments help me avoid borrowing/cash shortages,I plan my expenses better because of digital transaction records,My savings have remained stable or improved since I started using UPI,"Overall, UPI has had a positive impact on my saving habits"
30/06/2026 02:28:43,,Male,25-35,Professional/masters,Below 25000,Phonepay,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree
30/06/2026 02:28:44,,Male,Below 25,Professional/masters,Below 25000,Paytm,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree
30/06/2026 02:28:46,,Male,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree
30/06/2026 02:28:47,,Male,Below 25,UG,Above 100000,Google pay,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:28:48,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree
30/06/2026 02:28:50,,Female,Below 25,School,Below 25000,Google pay,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:28:51,,Male,Below 25,UG,Below 25000,Google pay,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree
30/06/2026 02:28:53,,Female,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
30/06/2026 02:28:54,,Female,25-35,UG,25000-50000,Google pay,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree
30/06/2026 02:28:55,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:28:57,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral
30/06/2026 02:28:58,,Female,Below 25,Professional/masters,25000-50000,Paytm,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
30/06/2026 02:29:00,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree
30/06/2026 02:29:01,,Male,25-35,Professional/masters,25000-50000,Google pay,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree
30/06/2026 02:29:02,,Male,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree
30/06/2026 02:29:04,,Female,Below 25,Professional/masters,Below 25000,Paytm,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree
30/06/2026 02:29:05,,Male,Below 25,Professional/masters,Below 25000,Google pay,Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree
30/06/2026 02:29:07,,Female,Below 25,Professional/masters,Below 25000,Google pay,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree
30/06/2026 02:29:08,,Male,25-35,UG,Below 25000,Google pay,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:29:09,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral
30/06/2026 02:29:10,,Female,Below 25,UG,Below 25000,Google pay,Agree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree
30/06/2026 02:29:12,,Male,Below 25,UG,Below 25000,Phonepay,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Agree
30/06/2026 02:29:13,,Male,25-35,UG,Below 25000,Paytm,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree
30/06/2026 02:29:15,,Male,Below 25,School,50000-100000,Phonepay,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral
30/06/2026 02:29:16,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree
30/06/2026 02:29:17,,Male,25-35,Professional/masters,25000-50000,Google pay,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree
30/06/2026 02:29:19,,Female,25-35,Professional/masters,25000-50000,Paytm,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Agree
30/06/2026 02:29:20,,Male,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree
30/06/2026 02:29:21,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:29:23,,Female,Below 25,School,Below 25000,Google pay,Strongly Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Disagree,Neutral,Neutral,Agree
30/06/2026 02:29:24,,Male,25-35,Professional/masters,50000-100000,Paytm,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
30/06/2026 02:29:26,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree
30/06/2026 02:29:28,,Male,Below 25,Professional/masters,25000-50000,Google pay,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree
30/06/2026 02:29:29,,Male,Below 25,UG,25000-50000,Google pay,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree
30/06/2026 02:29:30,,Female,25-35,Professional/masters,50000-100000,Google pay,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:29:32,,Male,Above 35,Professional/masters,50000-100000,Phonepay,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree
30/06/2026 02:29:33,,Female,Below 25,Professional/masters,Below 25000,Others,Strongly Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree
30/06/2026 02:29:35,,Male,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree
30/06/2026 02:29:36,,Female,Below 25,Professional/masters,25000-50000,Phonepay,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral
30/06/2026 02:29:37,,Female,Below 25,Professional/masters,Below 25000,Paytm,Strongly Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral
30/06/2026 02:29:39,,Female,Below 25,UG,Below 25000,Phonepay,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
30/06/2026 02:29:40,,Female,Below 25,Professional/masters,Below 25000,Paytm,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:29:42,,Female,25-35,UG,Below 25000,Phonepay,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:29:43,,Male,Below 25,UG,50000-100000,Others,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral
30/06/2026 02:29:44,,Male,Below 25,UG,Below 25000,Paytm,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree
30/06/2026 02:29:46,,Female,Below 25,UG,Below 25000,Google pay,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral
30/06/2026 02:29:47,,Female,Below 25,School,50000-100000,Phonepay,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree
30/06/2026 02:29:49,,Female,Below 25,Professional/masters,Below 25000,Phonepay,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
30/06/2026 02:29:50,,Male,Below 25,School,Below 25000,Google pay,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral
30/06/2026 02:29:52,,Male,Below 25,School,Below 25000,Phonepay,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree
30/06/2026 02:29:53,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree
30/06/2026 02:29:54,,Female,Below 25,UG,50000-100000,Paytm,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree
30/06/2026 02:29:55,,Male,Below 25,UG,50000-100000,Google pay,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral
30/06/2026 02:29:56,,Male,Below 25,UG,Below 25000,Phonepay,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree
30/06/2026 02:29:58,,Male,Below 25,Professional/masters,25000-50000,Phonepay,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree
30/06/2026 02:29:59,,Male,Below 25,UG,Below 25000,Paytm,Strongly Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree
30/06/2026 02:30:01,,Male,Below 25,Professional/masters,25000-50000,Google pay,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Agree
30/06/2026 02:30:02,,Female,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
30/06/2026 02:30:03,,Male,Below 25,UG,50000-100000,Google pay,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
30/06/2026 02:30:04,,Male,Below 25,Professional/masters,25000-50000,Phonepay,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree
30/06/2026 02:30:06,,Male,Below 25,UG,Below 25000,Google pay,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree
30/06/2026 02:30:07,,Female,Below 25,UG,50000-100000,Google pay,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree
30/06/2026 02:30:08,,Male,Below 25,UG,25000-50000,Phonepay,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree
30/06/2026 02:30:10,,Male,Below 25,UG,Below 25000,Phonepay,Agree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
30/06/2026 02:30:12,,Male,Below 25,Professional/masters,25000-50000,Google pay,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree
30/06/2026 02:30:13,,Female,Below 25,UG,Below 25000,Google pay,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree
30/06/2026 02:30:14,,Male,Below 25,Professional/masters,Below 25000,Google pay,Strongly Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral
30/06/2026 02:30:16,,Female,Below 25,UG,Below 25000,Phonepay,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral
30/06/2026 02:30:17,,Female,Below 25,School,50000-100000,Google pay,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree
30/06/2026 02:30:19,,Male,Below 25,Professional/masters,Below 25000,Google pay,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree
30/06/2026 02:30:20,,Male,Below 25,UG,25000-50000,Phonepay,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree
30/06/2026 02:30:22,,Female,Below 25,UG,Below 25000,Google pay,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
30/06/2026 02:30:23,,Male,Below 25,UG,25000-50000,Google pay,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree
30/06/2026 02:30:24,,Male,Below 25,School,Below 25000,Phonepay,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree
30/06/2026 02:30:26,,Female,Below 25,School,Below 25000,Google pay,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral
30/06/2026 02:30:27,,Male,Below 25,UG,Below 25000,Google pay,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree
