Timestamp,Do you voluntarily agree to participate in this research? ,  Age  ,Gender,  Highest Educational Qualification  ,  Occupation  ,  Monthly Income  ,  Which social media platform do you use most?  ,  How much time do you spend on social media daily?  ,  Have you ever purchased a product after seeing it on social media?  ,  Which type of products do you purchase most through social media?  ,Social media influences my purchasing decisions. ,Advertisements on social media encourage me to buy products. ,Influencer recommendations increase my interest in products. ,I trust products recommended by social media influencers. ,Customer reviews on social media influence my buying decisions. ,Product images and videos on social media attract me. ,Social media promotions and discounts motivate me to purchase products. ,Limited-time offers on social media encourage me to buy immediately. ,Celebrity endorsements on social media influence my buying decisions. ,"The number of likes, comments, and shares increases my trust in a product. ",I compare products after seeing them on social media. ,Social media helps me make informed purchasing decisions. ,I follow brands on social media for product updates. ,Social media has changed my shopping habits. ,I spend more time exploring products because of social media. ,I prefer buying products that are recommended by influencers. ,Social media provides reliable product information. ,I feel confident purchasing products promoted on social media. ,Social media helps me compare prices before buying. ,User-generated content (customer photos/videos) influences my purchase decisions. ,User-generated content (customer photos/videos) influences my purchase decisions. ,"Overall, social media has a significant impact on my buying behaviour. ",Email address,Column 33
30/06/2026 12:10:33,no,55 and above,Female,Undergraduate,Business Owner,"Above ₹80,000",WhatsApp,1–2 hours,No,Fashion & Clothing,5,4,3,4,1,2,3,2,4,2,5,2,2,4,5,1,4,1,5,1,3,2,,
30/06/2026 12:10:34,no,55 and above,Prefer not to say,High School,Others,"₹20,001–₹40,000",X (Twitter),4–6 hours,No,Others,3,5,4,4,4,5,4,3,3,3,1,4,3,4,4,1,5,3,1,1,4,3,,
30/06/2026 12:10:35,yes,25–34,Male,Undergraduate,Private Employee,"Below ₹20,000",Snapchat,More than 6 hours,No,Health & Fitness,4,1,1,5,4,3,3,5,3,2,2,5,4,5,1,1,1,1,5,4,5,1,,
30/06/2026 16:24:13,no,25–34,Female,Diploma,Others,"₹20,001–₹40,000",Others,More than 6 hours,No,Electronics,4,1,1,1,2,1,5,2,2,2,1,1,3,5,3,5,4,2,3,5,4,2,,
30/06/2026 16:26:03,no,18–24,Female,Others,Self-employed,"Above ₹80,000",Snapchat,More than 6 hours,No,Home & Lifestyle,1,1,4,5,3,5,3,2,2,1,2,3,3,2,3,3,3,3,4,1,5,3,,
30/06/2026 16:26:04,no,55 and above,Prefer not to say,Others,Homemaker,"₹40,001–₹60,000",Snapchat,Less than 1 hour,No,Home & Lifestyle,4,1,5,3,1,3,4,4,3,4,2,3,4,3,4,1,2,3,1,2,5,4,,
30/06/2026 16:26:05,yes,35–44,Male,Others,Student,"Above ₹80,000",Facebook,1–2 hours,Yes,Health & Fitness,1,5,5,5,2,2,2,5,4,4,4,5,3,2,3,2,2,3,3,4,4,5,,
30/06/2026 16:26:06,no,35–44,Female,Diploma,Self-employed,"Below ₹20,000",Facebook,4–6 hours,Yes,Others,4,5,1,2,2,1,2,5,3,1,4,4,4,5,2,4,3,1,5,1,4,3,,
30/06/2026 16:26:07,no,25–34,Female,Undergraduate,Private Employee,"₹20,001–₹40,000",Facebook,1–2 hours,Yes,Beauty & Personal Care,2,1,1,1,5,5,5,3,3,1,5,3,4,1,5,3,2,4,1,2,4,1,,
30/06/2026 17:54:37,no,35–44,Male,Doctorate,Government Employee,"₹20,001–₹40,000",Facebook,1–2 hours,Yes,Health & Fitness,2,3,5,1,2,4,3,5,5,3,2,2,3,4,2,4,2,3,2,2,3,3,,
30/06/2026 17:54:38,yes,25–34,Male,High School,Self-employed,"₹60,001–₹80,000",X (Twitter),More than 6 hours,No,Fashion & Clothing,5,5,4,3,2,2,4,4,4,2,3,2,1,4,1,4,5,1,3,1,2,4,,
30/06/2026 20:23:17,yes,18–24,Male,Undergraduate,Student,"₹20,001–₹40,000",Instagram,2–4 hours,Yes,Fashion & Clothing,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
30/06/2026 20:26:07,yes,45–54,Male,Undergraduate,Private Employee,"₹40,001–₹60,000",YouTube,1–2 hours,Yes,Fashion & Clothing,5,3,3,5,4,2,3,4,2,3,4,5,4,5,1,1,4,2,1,5,2,4,,
30/06/2026 20:26:47,yes,45–54,Male,Undergraduate,Private Employee,"₹40,001–₹60,000",YouTube,1–2 hours,Yes,Fashion & Clothing,5,3,3,5,4,2,3,4,2,3,4,5,4,5,1,1,4,2,1,5,2,4,,
30/06/2026 20:26:48,yes,18–24,Prefer not to say,Undergraduate,Government Employee,"Below ₹20,000",YouTube,2–4 hours,Yes,Food & Beverages,5,5,2,4,4,1,1,4,4,5,4,1,2,5,4,3,5,5,5,5,2,5,,
30/06/2026 20:26:49,yes,55 and above,Female,Undergraduate,Student,"₹20,001–₹40,000",WhatsApp,1–2 hours,No,Beauty & Personal Care,3,4,4,3,4,3,4,5,4,4,3,4,4,2,5,3,4,4,2,4,4,1,,
30/06/2026 20:26:50,yes,18–24,Male,Undergraduate,Student,"₹40,001–₹60,000",YouTube,2–4 hours,Yes,Food & Beverages,4,3,4,4,4,3,4,3,5,5,2,4,4,4,4,4,2,5,3,4,2,3,,
30/06/2026 20:26:51,yes,Below 18,Female,Undergraduate,Private Employee,"₹20,001–₹40,000",Instagram,1–2 hours,Yes,Others,3,4,4,5,3,5,4,4,5,4,3,5,4,4,3,3,4,5,4,4,5,3,,
30/06/2026 20:26:52,yes,18–24,Prefer not to say,Undergraduate,Private Employee,"₹20,001–₹40,000",Instagram,1–2 hours,Yes,Fashion & Clothing,5,3,3,4,4,4,5,4,5,4,4,4,5,3,5,4,4,4,4,5,3,5,,
30/06/2026 20:26:53,yes,35–44,Male,Postgraduate,Self-employed,"₹20,001–₹40,000",Snapchat,1–2 hours,Yes,Home & Lifestyle,4,5,2,5,3,4,3,4,3,5,4,3,5,5,4,4,5,4,4,5,4,4,,
30/06/2026 20:26:54,yes,Below 18,Female,Postgraduate,Student,"₹20,001–₹40,000",YouTube,Less than 1 hour,Yes,Food & Beverages,4,5,3,2,4,1,4,5,5,4,3,5,1,3,5,5,4,5,4,5,5,4,,
30/06/2026 20:26:55,yes,25–34,Male,Undergraduate,Student,"Below ₹20,000",Instagram,More than 6 hours,Yes,Fashion & Clothing,3,3,2,5,5,3,2,5,5,5,4,3,5,4,3,5,2,4,5,4,4,4,,
30/06/2026 20:26:56,yes,18–24,Male,Undergraduate,Homemaker,"Above ₹80,000",Facebook,More than 6 hours,Yes,Fashion & Clothing,4,5,1,4,3,5,5,4,5,1,5,5,5,4,3,5,5,3,4,3,4,3,,
30/06/2026 20:26:57,yes,25–34,Male,Undergraduate,Others,"Above ₹80,000",Instagram,1–2 hours,Yes,Fashion & Clothing,5,5,4,4,1,4,3,2,4,5,3,3,4,1,5,1,2,2,3,4,5,4,,
30/06/2026 20:26:57,yes,25–34,Female,Postgraduate,Private Employee,"Below ₹20,000",Snapchat,Less than 1 hour,Yes,Electronics,5,5,5,5,4,1,5,5,4,5,2,5,4,3,4,5,5,4,3,5,5,4,,
30/06/2026 20:26:58,yes,18–24,Prefer not to say,Diploma,Student,"₹40,001–₹60,000",WhatsApp,Less than 1 hour,Yes,Food & Beverages,3,2,4,4,5,5,4,2,4,5,1,4,3,1,5,2,2,4,1,3,4,5,,
30/06/2026 20:26:59,no,18–24,Male,Undergraduate,Student,"Below ₹20,000",Instagram,2–4 hours,Yes,Others,3,2,3,4,3,5,5,2,2,5,4,4,5,4,4,3,3,5,4,2,5,2,,
30/06/2026 20:27:00,yes,25–34,Male,Undergraduate,Private Employee,"Below ₹20,000",Instagram,2–4 hours,Yes,Beauty & Personal Care,2,5,5,4,5,4,5,5,1,3,5,3,5,5,2,4,1,5,5,2,5,4,,
30/06/2026 20:27:01,yes,18–24,Male,Postgraduate,Government Employee,"₹60,001–₹80,000",YouTube,2–4 hours,No,Beauty & Personal Care,3,3,1,1,3,3,3,4,4,2,3,3,4,5,5,3,5,5,3,4,5,3,,
30/06/2026 20:27:02,yes,18–24,Male,Undergraduate,Student,"Below ₹20,000",Instagram,2–4 hours,Yes,Food & Beverages,4,4,5,4,1,5,4,3,5,4,3,4,4,4,1,3,5,3,4,5,3,5,,
30/06/2026 20:27:03,yes,35–44,Male,Undergraduate,Government Employee,"Below ₹20,000",WhatsApp,More than 6 hours,No,Beauty & Personal Care,3,5,3,4,4,4,4,4,4,3,5,5,4,5,4,4,4,1,3,5,4,5,,
30/06/2026 20:27:04,yes,18–24,Female,Undergraduate,Student,"₹20,001–₹40,000",WhatsApp,2–4 hours,Yes,Fashion & Clothing,5,5,5,4,4,4,2,5,3,4,4,2,3,5,4,4,2,4,4,3,5,5,,
30/06/2026 20:27:05,yes,35–44,Male,Postgraduate,Private Employee,"₹20,001–₹40,000",Facebook,2–4 hours,Yes,Electronics,3,5,4,5,5,5,4,3,5,5,5,5,5,1,4,5,5,4,3,1,4,4,,
30/06/2026 20:27:06,yes,35–44,Female,Undergraduate,Student,"₹20,001–₹40,000",Facebook,2–4 hours,Yes,Electronics,4,4,4,5,3,3,4,5,4,5,4,3,3,4,4,4,4,1,3,3,5,3,,
30/06/2026 20:27:07,yes,25–34,Male,Diploma,Private Employee,"Below ₹20,000",Instagram,1–2 hours,Yes,Fashion & Clothing,3,2,4,5,1,3,3,5,5,5,4,2,4,4,5,5,4,5,3,4,4,5,,
30/06/2026 20:27:08,yes,18–24,Female,High School,Student,"Above ₹80,000",Instagram,2–4 hours,No,Beauty & Personal Care,5,2,4,1,3,4,4,3,1,5,3,2,3,5,4,5,5,3,3,2,4,4,,
30/06/2026 20:27:09,yes,Below 18,Prefer not to say,Postgraduate,Private Employee,"₹20,001–₹40,000",Snapchat,2–4 hours,Yes,Fashion & Clothing,5,1,4,3,2,5,4,5,4,5,5,5,3,4,5,3,4,5,5,4,5,3,,
30/06/2026 20:27:10,yes,18–24,Female,Undergraduate,Student,"Below ₹20,000",Snapchat,4–6 hours,Yes,Fashion & Clothing,2,4,4,5,3,4,4,4,3,5,4,4,2,2,2,5,2,5,4,5,5,4,,
30/06/2026 20:27:11,yes,25–34,Male,Undergraduate,Student,"Above ₹80,000",Instagram,4–6 hours,Yes,Fashion & Clothing,5,5,5,1,5,4,3,4,4,4,4,5,4,5,5,4,4,3,3,3,5,2,,
30/06/2026 20:27:11,yes,25–34,Female,Postgraduate,Student,"₹60,001–₹80,000",Facebook,1–2 hours,Yes,Beauty & Personal Care,4,1,4,5,3,5,2,1,5,4,2,3,5,3,1,3,4,2,4,5,4,1,,
30/06/2026 20:27:12,yes,25–34,Female,Diploma,Student,"₹20,001–₹40,000",YouTube,Less than 1 hour,Yes,Fashion & Clothing,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,5,4,5,2,2,2,4,,
30/06/2026 20:27:13,yes,25–34,Male,Postgraduate,Student,"₹20,001–₹40,000",WhatsApp,1–2 hours,Yes,Fashion & Clothing,4,4,3,3,4,3,3,4,4,4,5,5,3,4,5,4,5,4,5,1,5,3,,
30/06/2026 20:27:14,yes,35–44,Female,Diploma,Student,"Below ₹20,000",Instagram,2–4 hours,Yes,Fashion & Clothing,2,5,3,1,3,3,5,5,4,4,4,4,5,4,5,4,2,3,3,4,5,4,,
30/06/2026 20:27:15,yes,18–24,Female,Postgraduate,Student,"₹60,001–₹80,000",Instagram,Less than 1 hour,Yes,Beauty & Personal Care,5,4,3,4,3,5,3,3,5,4,5,5,3,5,1,3,3,3,5,4,5,2,,
30/06/2026 20:27:16,yes,35–44,Prefer not to say,Undergraduate,Student,"Below ₹20,000",YouTube,2–4 hours,Yes,Beauty & Personal Care,5,4,5,5,5,3,4,3,1,4,5,4,5,3,5,4,5,4,2,4,4,4,,
30/06/2026 20:27:17,yes,18–24,Female,Diploma,Student,"Below ₹20,000",Instagram,2–4 hours,Yes,Home & Lifestyle,4,5,1,3,5,4,4,3,4,5,5,3,3,5,3,4,4,4,5,5,2,4,,
30/06/2026 20:27:18,yes,35–44,Male,Postgraduate,Private Employee,"Below ₹20,000",Instagram,1–2 hours,Yes,Electronics,1,4,5,4,4,4,4,4,4,5,3,2,3,3,3,4,3,4,1,4,5,2,,
30/06/2026 20:27:19,yes,18–24,Female,Undergraduate,Student,"Below ₹20,000",Instagram,2–4 hours,Yes,Fashion & Clothing,4,5,5,5,3,4,2,3,5,5,4,3,4,3,5,4,5,3,3,5,4,5,,
30/06/2026 20:27:20,yes,55 and above,Male,Postgraduate,Student,"Below ₹20,000",Instagram,1–2 hours,Yes,Fashion & Clothing,4,3,4,4,3,3,4,5,5,1,5,5,5,4,4,5,5,5,5,4,5,4,,
30/06/2026 20:27:21,yes,18–24,Male,Doctorate,Student,"₹20,001–₹40,000",Instagram,Less than 1 hour,Yes,Electronics,4,5,2,1,4,4,2,2,3,5,5,5,4,3,5,5,5,3,5,5,5,5,,
30/06/2026 20:27:22,yes,18–24,Female,Postgraduate,Government Employee,"₹40,001–₹60,000",Instagram,Less than 1 hour,Yes,Fashion & Clothing,5,4,4,4,1,4,2,5,3,3,4,4,3,4,4,5,5,5,5,3,4,5,,
30/06/2026 20:27:23,yes,Below 18,Male,Undergraduate,Private Employee,"Below ₹20,000",Instagram,More than 6 hours,No,Fashion & Clothing,5,4,5,4,5,5,4,3,5,2,4,5,4,4,4,5,1,3,5,2,4,2,,
